timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/07/16 11:44:45.936, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:46.937, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:47.938, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:48.939, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:49.940, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:50.941, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:51.942, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:52.943, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:53.944, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:54.945, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:55.946, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:56.947, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:57.948, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:58.949, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:59.950, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:00.951, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:01.952, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:02.953, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:03.954, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:04.955, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:05.956, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:06.957, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:07.958, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:08.958, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:09.959, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:10.960, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:11.963, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:12.964, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:13.965, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:14.966, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:15.967, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:16.968, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:17.969, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:18.970, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:19.971, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:20.972, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:21.973, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:22.974, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:23.975, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:24.976, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:25.977, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:26.978, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:27.979, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:28.980, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:29.981, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:30.981, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:31.982, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:32.983, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:33.984, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:34.985, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:35.986, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:36.987, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:37.988, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:38.989, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:39.989, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:40.990, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:41.991, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:42.992, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:43.992, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:44.993, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:45.994, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:46.995, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:47.996, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:48.997, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:49.997, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:50.998, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:51.999, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:52.999, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:54.000, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:55.001, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:56.002, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:57.003, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:58.003, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:45:59.004, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:00.005, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:01.006, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:02.007, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:03.008, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:04.008, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:05.009, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:06.010, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:07.011, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:08.012, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:09.013, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:10.013, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:11.014, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:12.015, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:13.016, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:14.017, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:15.017, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:16.018, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:17.020, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:18.022, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:19.023, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:20.024, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:21.024, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:22.025, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:23.026, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:24.027, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:25.028, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:26.029, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:27.030, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:28.031, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:29.031, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:30.032, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:31.033, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:32.034, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:33.035, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:34.036, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:35.036, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:36.037, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:37.038, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:38.039, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:39.040, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:40.041, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:41.042, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:42.042, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:43.043, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:44.044, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:45.045, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:46.046, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:47.046, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:48.047, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:49.048, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:50.049, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:51.050, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:52.050, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:53.051, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:54.052, Quadro RTX 8000, 0 %, 0 %, 165 MiB
2025/07/16 11:46:55.053, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:46:56.054, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:46:57.055, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:46:58.056, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:46:59.057, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:00.058, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:01.059, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:02.060, Quadro RTX 8000, 0 %, 0 %, 1 MiB
